Nodes, Time (s)
1, 6.147
1, 6.011
1, 7.496
1, 5.850
1, 5.621
1, 5.807
1, 5.853
1, 5.991
1, 5.662
1, 5.887
1, 7.266
1, 6.037
1, 5.915
1, 5.659
1, 6.125
1, 7.290
1, 5.449
1, 5.701
1, 6.020
1, 6.154
1, 7.439
1, 5.635
1, 5.810
1, 6.118
1, 7.292
1, 5.470
1, 5.833
1, 5.746
1, 5.726
1, 5.790
1, 7.421
1, 5.443
1, 5.822
1, 5.744
1, 5.442
1, 5.651
1, 7.407
1, 5.508
1, 5.975
1, 5.749
1, 7.073
1, 6.171
1, 5.823
1, 5.686
3, 18.749
3, 16.297
3, 16.181
3, 15.261
3, 14.588
3, 19.036
3, 15.725
3, 14.520
3, 15.363
3, 15.935
3, 16.251
3, 16.345
3, 16.513
3, 16.601
3, 17.341
3, 17.222
3, 17.399
3, 17.390
3, 17.244
3, 17.747
3, 17.895
3, 18.032
3, 18.084
3, 22.881
3, 18.352
3, 18.205
3, 19.049
3, 18.422
3, 18.694
3, 18.514
3, 18.992
3, 19.042
3, 18.485
3, 19.094
3, 18.763
3, 23.813
3, 25.519
3, 18.824
3, 18.258
3, 18.093
3, 18.394
3, 18.482
3, 18.307
3, 18.800
3, 18.368
3, 18.550
3, 18.639
6, 33.309
6, 37.088
6, 101.299
6, 38.256
6, 38.000
6, 37.796
6, 32.967
6, 27.926
6, 27.481
6, 27.548
6, 27.130
6, 27.158
6, 27.227
6, 26.764
6, 26.563
6, 26.823
6, 27.115
6, 26.948
6, 26.729
6, 26.874
6, 27.420
6, 27.363
6, 27.106
6, 27.272
6, 26.844
6, 27.060
6, 27.010
6, 26.901
6, 26.874
6, 27.117
6, 27.130
6, 27.104
6, 27.496
6, 27.573
6, 27.623